Speaker;Female;Age;Storkreds;Parti
Alexander Ryle;0;33;København;LA
Anders Kronborg;0;41;Sydjylland;S
Betina Kastbjerg;1;52;Vestjylland;DD
Birgitte Vind;1;58;Sydjylland;S
Bjørn Brandenborg;0;32;Fyn;S
Brigitte Klintskov Jerkel;1;54;Sjælland;KF
Charlotte Bagge Hansen;1;54;Sjælland;M
Erling Bonnesen;0;68;Fyn;V
Fie Hækkerup;1;29;Nordsjælland;S
Hans Kristian Skibby;0;54;Østjylland;DD
Kaare Dybvad Bek;0;39;Sjælland;S
Karina Lorentzen Dehnhardt;1;50;Sydjylland;SF
Kim Edberg Andersen;0;50;Nordjylland;NB
Kristian Bøgsted;0;41;Nordjylland;DD
Lars Løkke Rasmussen;0;59;Sjælland;M
Lisbeth Bech-Nielsen;1;41;København;SF
Louise Brown;1;43;Østjylland;LA
Magnus Heunicke;0;48;Sjælland;S
Mai Mercado;1;43;Fyn;KF
Marie Bjerre;1;37;Nordjylland;V
Marlene Harpsøe;1;40;Nordsjælland;DD
Mette Abildgaard;1;35;Nordsjælland;KF
Mette Kierkgaard;1;51;Sydjylland;M
Mette Thiesen;1;42;Nordsjælland;DF
Mikkel Bjørn;0;28;Fyn;DF
Mona Juul;1;56;Østjylland;KF
Morten Messerschmidt;0;43;København omegn;DF
Pelle Dragsted;0;48;København;EL
Peter Hummelgaard;0;40;København;S
Peter Kofod;0;33;Sydjylland;DF
Pia Kjærsgaard;1;76;Sjælland;DF
Preben Bang Henriksen;0;69;Nordjylland;V
Rosa Eriksen;1;33;Fyn;M
Rosa Lund;1;37;København;EL
Sandra Elisabeth Skalvig;1;33;Sjælland;LA
Sigurd Agersnap;0;30;København omegn;SF
Sophie Løhde;1;40;Nordsjælland;V
Steffen Larsen;0;40;København omegn;LA
Søren Egge Rasmussen;0;62;Sydjylland;EL
Tobias Grotkjær Elmstrøm;0;41;Østjylland;M
